code_intel_celery    | [2026-02-17 14:37:47,675: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,675: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_2/MIN.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,676: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,676: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_2/sort.asm: 0 symbols
code_intel_celery    | [2026-02-17 14:37:47,676: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,677: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_2/SORTASCENDING.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,677: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,677: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_2/SORTDESCENDING.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,678: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,678: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_2/SORT_ASC.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,679: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,679: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_2/MULTUPLY_BCD.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,679: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,679: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_2/ASSEMBLE2NUM.asm: 0 symbols
code_intel_celery    | [2026-02-17 14:37:47,680: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,680: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_2/MULTUPLY.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,681: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,681: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/16BitADDITION.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,681: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,682: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/Add.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,682: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,682: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/SUMOFN.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,683: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,683: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/16BitADDITION_BCD.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,684: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,684: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/SUMOFN_BCD.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,684: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,684: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/SIGBIT_SUM_BCD.asm: 2 symbols
